ticker_papel,pais,fuente,verificado
EWY,,fondo: la exposición geográfica la declara su propio nombre,
EWZ,,fondo: la exposición geográfica la declara su propio nombre,
F,US,"SEC EDGAR, ficha del emisor (CIK 37996): domicilio comercial en Dearborn, Michigan, EE.UU.",2026-08-28
FC,,el panel lo nombra Franklin Covey (ticker FC en SEC) pero FC no figura en la tabla de CEDEARs de BYMA y el patrón de especies sugiere que es Ford en dólar cable (junto a F y FD): identidad no verificada,
FCX,US,"SEC EDGAR, ficha del emisor (CIK 831259): domicilio comercial en Phoenix, Arizona, EE.UU.",2026-08-28
FD,US,"Fichas de especie de Aldazabal y Nix Valores (FD): ""CEDEAR Ford Motor Co"", especie en dólares; SEC EDGAR, ficha del emisor (CIK 37996): domicilio comercial en Dearborn, Michigan, EE.UU.",2026-08-28
FDX,US,"SEC EDGAR, ficha del emisor (CIK 1048911): domicilio comercial en Memphis, Tennessee, EE.UU.",2026-08-28
FISV,US,"SEC EDGAR, ficha del emisor (CIK 798354): domicilio comercial en Milwaukee, Wisconsin, EE.UU.",2026-08-28
FMCC,US,"SEC EDGAR, ficha del emisor (CIK 1026214): domicilio comercial en McLean, Virginia, EE.UU.",2026-08-28
FMX,MX,"SEC EDGAR, ficha del emisor (CIK 1061736): domicilio comercial en Monterrey, Nuevo León, México",2026-08-28
FNMA,US,"SEC EDGAR, ficha del emisor (CIK 310522): domicilio comercial en Washington DC, EE.UU.",2026-08-28
FSLR,US,"SEC EDGAR, ficha del emisor (CIK 1274494): domicilio comercial en Phoenix, Arizona, EE.UU.",2026-08-28
FXI,,fondo: la exposición geográfica la declara su propio nombre,
GDX,,fondo: la exposición geográfica la declara su propio nombre,
GE,US,"SEC EDGAR, ficha del emisor (CIK 40545): domicilio comercial en Evendale, Ohio, EE.UU.",2026-08-28
GFI,ZA,"SEC EDGAR, ficha del emisor (CIK 1172724): domicilio comercial en Sandton, Sudáfrica",2026-08-28
GGB,BR,"SEC EDGAR, ficha del emisor (CIK 1073404): domicilio comercial en San Pablo, Brasil",2026-08-28
GILD,US,"SEC EDGAR, ficha del emisor (CIK 882095): domicilio comercial en Foster City, California, EE.UU.",2026-08-28
GLD,,fondo: la exposición geográfica la declara su propio nombre,
GLNG,,"20-F FY2025 (SEC): domicilio social en Hamilton, Bermudas (exempted company) y oficina administrativa principal en Londres; la flota FLNG opera fuera de ambas economías: sin respuesta única",
GLOB,,"20-F FY2024 (SEC): domicilio social en Luxemburgo (37A Av. J.F. Kennedy), centros de desarrollo principalmente en Argentina y 53,8% de los ingresos en América del Norte (4T25): sin respuesta única",
GLW,US,"SEC EDGAR, ficha del emisor (CIK 24741): domicilio comercial en Corning, Nueva York, EE.UU.",2026-08-28
GM,US,"SEC EDGAR, ficha del emisor (CIK 1467858): domicilio comercial en Detroit, Michigan, EE.UU.",2026-08-28
GOGLC,US,"Ficha de especie de Cohen (GOGLC): CEDEAR Alphabet Inc. Cl A; SEC EDGAR, ficha del emisor (CIK 1652044): domicilio comercial en Mountain View, California, EE.UU.",2026-08-28
GOGLD,US,"Ficha de especie de InvertirOnline y TradingView (GOGLD): CEDEAR Alphabet Inc.; SEC EDGAR, ficha del emisor (CIK 1652044): domicilio comercial en Mountain View, California, EE.UU.",2026-08-28
GOOGL,US,"SEC EDGAR, ficha del emisor (CIK 1652044): domicilio comercial en Mountain View, California, EE.UU.",2026-08-28
GPRK,CO,"20-F 2025 (SEC): oficinas ejecutivas principales en Calle 94 N° 11-30, Bogotá, Colombia; activos núcleo en la cuenca Llanos, Colombia. Constituida en Bermudas (estructura legal)",2026-08-28
GRMN,,"10-K (SEC): oficinas ejecutivas principales en Vorstadt 40/42, Schaffhausen, Suiza, pero la sede operativa está en Olathe, Kansas, EE.UU. y la manufactura en Taiwán: sin respuesta única",
GS,US,"SEC EDGAR, ficha del emisor (CIK 886982): domicilio comercial en Nueva York, EE.UU.",2026-08-28
GSK,GB,"SEC EDGAR, ficha del emisor (CIK 1131399): domicilio comercial en Londres, Reino Unido",2026-08-28
GT,US,"SEC EDGAR, ficha del emisor (CIK 42582): domicilio comercial en Akron, Ohio, EE.UU.",2026-08-28
HAL,US,"SEC EDGAR, ficha del emisor (CIK 45012): domicilio comercial en Houston, Texas, EE.UU.",2026-08-28
HAP3C,BR,"TradingView (BCBA:HAP3C) y tabla de CEDEARs de BYMA (HAPV3, B3): CEDEAR de Hapvida Participações e Investimentos S.A.; sede en Av. Heráclito Graça 406, Fortaleza, Ceará, Brasil (sitio de RI de la compañía)",2026-08-28
HAP3D,BR,"TradingView (BCBA:HAP3D): ""Hapvida Participacoes Inv SA CEDEAR""; sede en Av. Heráclito Graça 406, Fortaleza, Ceará, Brasil (sitio de RI de la compañía)",2026-08-28
HAPV3,BR,"Tabla oficial de CEDEARs de BYMA (17/04/2026): HAPV3 = Hapvida Participacoes E Investimentos S.A., cotiza en B3; sede en Av. Heráclito Graça 406, Fortaleza, Ceará, Brasil (sitio de RI de la compañía)",2026-08-28
HD,US,"SEC EDGAR, ficha del emisor (CIK 354950): domicilio comercial en Atlanta, Georgia, EE.UU.",2026-08-28
HDB,IN,"SEC EDGAR, ficha del emisor (CIK 1144967): domicilio comercial en Bombay, India",2026-08-28
HHPD,TW,"Tabla oficial de CEDEARs de BYMA (17/04/2026): HHPD = Hon Hai Precision Industry Co. Ltd.; reporte anual 2025 de la compañía (honhai.com): sede en N° 2 Zihyou St., distrito Tucheng, Nueva Taipéi, Taiwán",2026-08-28
HIMS,US,"SEC EDGAR, ficha del emisor (CIK 1773751): domicilio comercial en San Francisco, California, EE.UU.",2026-08-28
HL,US,"SEC EDGAR, ficha del emisor (CIK 719413): domicilio comercial en Coeur d'Alene, Idaho, EE.UU.",2026-08-28
HMC,JP,"SEC EDGAR, ficha del emisor (CIK 715153): domicilio comercial en Tokio, Japón",2026-08-28
HMY,ZA,"SEC EDGAR, ficha del emisor (CIK 1023514): domicilio comercial en Randfontein, Sudáfrica",2026-08-28
HOG,US,"SEC EDGAR, ficha del emisor (CIK 793952): domicilio comercial en Milwaukee, Wisconsin, EE.UU.",2026-08-28
HON,US,"SEC EDGAR, ficha del emisor (CIK 773840): domicilio comercial en Charlotte, Carolina del Norte, EE.UU.",2026-08-28
HOOD,US,"SEC EDGAR, ficha del emisor (CIK 1783879): domicilio comercial en Menlo Park, California, EE.UU.",2026-08-28
HPQ,US,"SEC EDGAR, ficha del emisor (CIK 47217): domicilio comercial en Palo Alto, California, EE.UU.",2026-08-28
HSBC,GB,"SEC EDGAR, ficha del emisor (CIK 1089113): domicilio comercial en Londres, Reino Unido",2026-08-28
HSY,US,"SEC EDGAR, ficha del emisor (CIK 47111): domicilio comercial en Hershey, Pensilvania, EE.UU.",2026-08-28
NSAN,JP,"Sitio corporativo nissan-global.com, ""Company Outline"": domicilio 1-1 Takashima 1-chome, Nishi-ku, Yokohama, Kanagawa, Japón. Listado oficial de CEDEARs de BYMA (17/04/2026): NSAN = Nissan Motor Co., Ltd, OTC US",2026-08-28
NTES,CN,"SEC EDGAR CIK 1110646 y Form 20-F FY2025: oficinas ejecutivas principales en China Life Centre, Kowloon, Hong Kong; el mismo 20-F declara el capex y los edificios corporativos en Shanghai y Hangzhou, China continental, donde está la operación. Se asigna CN por la economía operativa; queda a revision si se prefiere HK por la sede formal",2026-08-28
NU,BR,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 1691493, Form 20-F): Rua Capote Valente 39, São Paulo, Brasil. Constituida en Islas Caimán, estructura legal que no se toma como economía",2026-08-28
NUE,US,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 73309, Form 10-K): 1915 Rexford Rd, Charlotte, Carolina del Norte, EE.UU.",2026-08-28
NVDA,US,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 1045810, Form 10-K): 2788 San Tomas Expressway, Santa Clara, California, EE.UU.",2026-08-28
NVO,DK,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 353278, Form 20-F): Novo Alle, DK-2880 Bagsvaerd, Dinamarca",2026-08-28
NVS,CH,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 1114448, Form 20-F): Lichtstrasse 35, Basilea, Suiza",2026-08-28
NXE,CA,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 1698535, Form 40-F): 1021 West Hastings Street, Vancouver, Columbia Britanica, Canada; proyecto principal Rook I en Saskatchewan, Canada",2026-08-28
O,US,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 726728, Form 10-K): 11995 El Camino Real, San Diego, California, EE.UU.",2026-08-28
OC,US,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 1370946, Form 10-K): One Owens Corning Parkway, Toledo, Ohio, EE.UU.",2026-08-28
OD,,"fila sin nombre ni mercado en el panel de BYMA; el ticker no figura en el listado oficial ""CEDEARs Negociables en BYMA"" (PDF del 17/04/2026) ni en el mapa oficial ticker-CIK de la SEC (company_tickers.json): especie no identificable, no se infiere del string",
OKLO,US,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 1849056, Form 10-K): 3190 Coronado Dr., Santa Clara, California, EE.UU.",2026-08-28
ONDS,US,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 1646188, hoy Ondas Inc., antes Ondas Holdings Inc.): 222 Lakeview Avenue, West Palm Beach, Florida, EE.UU.",2026-08-28
ORCL,US,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 1341439, Form 10-K): 2300 Oracle Way, Austin, Texas, EE.UU.",2026-08-28
ORLY,US,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 898173, Form 10-K): 233 S Patterson Ave, Springfield, Missouri, EE.UU.",2026-08-28
OXY,US,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 797468, Form 10-K): 5 Greenway Plaza, Houston, Texas, EE.UU.",2026-08-28
PAAS,,"SEC EDGAR CIK 771992 y panamericansilver.com/about: casa matriz en 733 Seymour Street, Vancouver, Canada, pero la propia empresa declara sus minas en Canada, México, Perú, Brasil, Bolivia, Chile, Argentina y Guatemala, sin economía dominante. Sede y operaciones divergen: sin respuesta unica",
PAC,MX,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 1347557, Form 20-F, Grupo Aeroportuario del Pacifico): Avenida Mariano Otero 1249, Guadalajara, Jalisco, México",2026-08-28
PAGS,BR,"Form 20-F de PagSeguro Digital Ltd. (SEC CIK 1712807): oficinas ejecutivas principales en Avenida Brigadeiro Faria Lima 1384, São Paulo, Brasil. El domicilio de Gran Caimán que figura en EDGAR es el del agente registrado (Conyers Trust), no la sede operativa",2026-08-28
PANW,US,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 1327567, Form 10-K): 3000 Tannery Way, Santa Clara, California, EE.UU.",2026-08-28
PATH,US,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 1734722, Form 10-K): One Vanderbilt Avenue, Nueva York, EE.UU.",2026-08-28
PBI,US,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 78814, Form 10-K): Shelton, Connecticut, EE.UU.",2026-08-28
PBR,BR,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 1119639, Form 20-F): Avenida Republica do Chile 65, Rio de Janeiro, Brasil",2026-08-28
PCAR,US,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 75362, Form 10-K): Paccar Building, Bellevue, Washington, EE.UU.",2026-08-28
PDD,,"SEC EDGAR CIK 1737806: oficinas ejecutivas principales en 25 St Stephen's Green, Dublin 2, Irlanda desde 2023 (antes Shanghai); la operación y el origen del negocio siguen en China (Pinduoduo, oficina de Shanghai). Sede legal y economía operativa divergen: sin respuesta unica",
PEP,US,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 77476, Form 10-K): 700 Anderson Hill Rd, Purchase, Nueva York, EE.UU.",2026-08-28
PETR,,"fila sin nombre ni mercado en el panel de BYMA; el ticker no figura en el listado oficial ""CEDEARs Negociables en BYMA"" (PDF del 17/04/2026) ni en el mapa oficial ticker-CIK de la SEC (company_tickers.json): especie no identificable, no se infiere del string",
PETR3,BR,"Listado oficial de CEDEARs de BYMA (17/04/2026): PETR3 = Petrobras - Petroleo Brasileiro S.A., B3. Mismo emisor que el ADR PBR: SEC EDGAR CIK 1119639, Form 20-F, sede en Avenida República do Chile 65, Rio de Janeiro, Brasil",2026-08-28
PFE,US,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 78003, Form 10-K): 66 Hudson Boulevard East, Nueva York, EE.UU.",2026-08-28
PG,US,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 80424, Form 10-K): One Procter & Gamble Plaza, Cincinnati, Ohio, EE.UU.",2026-08-28
PHG,NL,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 313216, Form 20-F, Koninklijke Philips N.V.): Prinses Irenestraat 59, Amsterdam, Paises Bajos",2026-08-28
PINS,US,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 1506293, Form 10-K): 651 Brannan Street, San Francisco, California, EE.UU.",2026-08-28
PKS,KR,"Listado oficial de CEDEARs de BYMA (17/04/2026): PKS = Posco Holdings Inc., NYSE. SEC EDGAR CIK 889132, Form 20-F: POSCO Center, Gangnam-gu, Seul, Corea del Sur",2026-08-28
PLTR,US,"Form 10-K FY2025 de Palantir presentado el 17/02/2026 (SEC CIK 1321655): oficinas ejecutivas principales en 19505 Biscayne Blvd., Suite 2350, Aventura, Florida, EE.UU. (antes Denver, Colorado)",2026-08-28
PM,US,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 1413329, Form 10-K): 677 Washington Blvd, Stamford, Connecticut, EE.UU.; constituida en Virginia. Sus ventas son mayormente fuera de EE.UU. pero sin una economía unica dominante",2026-08-28
PRI3C,,"fila sin nombre ni mercado en el panel de BYMA; el ticker no figura en el listado oficial ""CEDEARs Negociables en BYMA"" (PDF del 17/04/2026) ni en el mapa oficial ticker-CIK de la SEC (company_tickers.json): especie no identificable, no se infiere del string",
PRIO3,BR,"Listado oficial de CEDEARs de BYMA (17/04/2026): PRIO3 = Petro Rio S.A., B3. Sitio de relacion con inversores ri.prio3.com.br: sede en Praia de Botafogo 370, Rio de Janeiro, Brasil; produccion concentrada en la Cuenca de Campos, Brasil",2026-08-28
PSO,GB,"Listado oficial de CEDEARs de BYMA (17/04/2026): PSO = Pearson Plc, NYSE (la fila del panel venia sin nombre). SEC EDGAR CIK 938323, Form 20-F: 80 Strand, Londres, Reino Unido",2026-08-28
PSQ,,fondo: la exposicion geografica la declara su propio nombre,
PSX,US,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 1534701, Form 10-K): 2331 CityWest Blvd., Houston, Texas, EE.UU.",2026-08-28
PYPL,US,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 1633917, Form 10-K): 2211 North First Street, San Jose, California, EE.UU.",2026-08-28
QCOM,US,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 804328, Form 10-K): 5775 Morehouse Dr, San Diego, California, EE.UU.",2026-08-28
QQQ,,fondo: la exposicion geografica la declara su propio nombre,
RACE,IT,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 1648416, Form 20-F, Ferrari N.V.): Via Abetone Inferiore 4, Maranello, Italia. Constituida en Paises Bajos, estructura legal que no se toma como economía",2026-08-28
RBLX,US,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 1315098, Form 10-K): 3150 South Delaware Street, San Mateo, California, EE.UU.",2026-08-28
REN3C,,"fila sin nombre ni mercado en el panel de BYMA; el ticker no figura en el listado oficial ""CEDEARs Negociables en BYMA"" (PDF del 17/04/2026) ni en el mapa oficial ticker-CIK de la SEC (company_tickers.json): especie no identificable, no se infiere del string",
RENT3,BR,"Listado oficial de CEDEARs de BYMA (17/04/2026): RENT3 = Localiza Rent A Car S.A., B3. Sitio de relacion con inversores ri.localiza.com, seccion IR Contact: Av. Bernardo de Vasconcelos 377, Belo Horizonte, Minas Gerais, Brasil",2026-08-28
RGTI,US,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 1838359, Form 10-K): 775 Heinz Avenue, Berkeley, California, EE.UU.",2026-08-28
RIO,,"SEC EDGAR CIK 863064 y Form 20-F FY2025: Rio Tinto opera bajo una estructura de dual-listed company en la que Rio Tinto plc (domicilio 6 St James's Square, Londres, Reino Unido) y Rio Tinto Limited (Level 43, 120 Collins Street, Melbourne, Australia) se declaran una sola empresa economica con directorio comun. Dos sedes en pie de igualdad: sin respuesta unica",
RIOT,US,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 1167419, Form 10-K): 85 Rio Grande Drive, Castle Rock, Colorado, EE.UU.",2026-08-28
RKLB,US,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 1819994, Form 10-K): 3881 McGowen Street, Long Beach, California, EE.UU. Mantiene sitio de lanzamiento en Nueva Zelanda, pero la sede declarada es EE.UU.",2026-08-28
ROKU,US,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 1428439, Form 10-K): 1173 Coleman Avenue, San Jose, California, EE.UU.",2026-08-28
ROST,US,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 745732, Form 10-K): 5130 Hacienda Drive, Dublin, California, EE.UU.",2026-08-28
RSP,,fondo: la exposicion geografica la declara su propio nombre,
RTX,US,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 101829, Form 10-K, hoy RTX Corp, antes Raytheon Technologies): 1000 Wilson Blvd, Arlington, Virginia, EE.UU.",2026-08-28
SAN,ES,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 891478, Banco Santander S.A.): Ciudad Grupo Santander, Madrid, Espana",2026-08-28
SAP,DE,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 1000184, Form 20-F): Dietmar-Hopp-Allee 16, Walldorf, Alemania",2026-08-28
SATL,US,"SEC EDGAR CIK 1874315 y Form 10-Q del 12/05/2026: oficina ejecutiva principal en 210 Delburg Street, Davidson, Carolina del Norte, EE.UU.; el 26/03/2025 completo su domesticacion como sociedad de Delaware, dejando las Islas Virgenes Britanicas",2026-08-28
SBS,BR,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 1170858, Form 20-F, SABESP): Rua Costa Carvalho 300, São Paulo, Brasil",2026-08-28
SBSP3,BR,"Listado oficial de CEDEARs de BYMA (17/04/2026): SBSP3 = Cia Saneamento Basico de SP, B3. Mismo emisor que el ADR SBS: SEC EDGAR CIK 1170858, Form 20-F, Rua Costa Carvalho 300, São Paulo, Brasil",2026-08-28
SBSPD,,"fila sin nombre ni mercado en el panel de BYMA; el ticker no figura en el listado oficial ""CEDEARs Negociables en BYMA"" (PDF del 17/04/2026) ni en el mapa oficial ticker-CIK de la SEC (company_tickers.json): especie no identificable, no se infiere del string",
SBUX,US,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 829224, Form 10-K): Seattle, Washington, EE.UU.",2026-08-28
SCCO,,"SEC EDGAR CIK 1001838 y Form 10-K: oficinas ejecutivas principales en Phoenix, Arizona, EE.UU., pero el mismo 10-K declara que la totalidad de sus instalaciones mineras, de fundicion y refinacion estan en Peru y Mexico. Sede y operaciones divergen: sin respuesta unica",
SCHW,US,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 316709, Form 10-K): 3000 Schwab Way, Westlake, Texas, EE.UU.",2026-08-28
SCOOD,,"fila sin nombre ni mercado en el panel de BYMA; el ticker no figura en el listado oficial ""CEDEARs Negociables en BYMA"" (PDF del 17/04/2026) ni en el mapa oficial ticker-CIK de la SEC (company_tickers.json): especie no identificable, no se infiere del string",
SDA,CN,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 1936804, Form 20-F, SunCar Technology Group): Suite 209, No. 656 Lingshi Road, Shanghai, China. Constituida en Islas Caimán, estructura legal que no se toma como economía",2026-08-28
SE,SG,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 1703399, Sea Ltd.): 1 Fusionopolis Place, Singapur. Constituida en Islas Caimán, estructura legal que no se toma como economía",2026-08-28
SH,,fondo: la exposicion geografica la declara su propio nombre,
SHEL,GB,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 1306965, Form 20-F FY2025, hoy Shell plc, antes Royal Dutch Shell): Shell Centre, Londres SE1 7NA, Reino Unido; sociedad constituida bajo las leyes de Inglaterra y Gales",2026-08-28
SHOP,CA,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 1594805, Form 10-K): 151 O'Connor Street, Ottawa, Canada",2026-08-28
SID,BR,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 1049659, Form 20-F, Companhia Siderurgica Nacional): Avenida Brigadeiro Faria Lima 3400, São Paulo, Brasil",2026-08-28
SIEGC,,"fila sin nombre ni mercado en el panel de BYMA; el ticker no figura en el listado oficial ""CEDEARs Negociables en BYMA"" (PDF del 17/04/2026) ni en el mapa oficial ticker-CIK de la SEC (company_tickers.json): especie no identificable, no se infiere del string",
SIEGY,DE,"Listado oficial de CEDEARs de BYMA (17/04/2026): SIEGY = Siemens Ag Adr, OTC; siemens.com confirma el programa de ADR nivel I bajo ese ticker. Siemens Report fiscal 2025: Siemens AG constituida en Alemania con sede corporativa en Munich",2026-08-28
SLB,US,"SEC EDGAR, domicilio de oficinas ejecutivas principales declarado por la empresa (CIK 87347, Form 10-K): 5599 San Felipe, Houston, Texas, EE.UU. Constituida en Curazao, estructura legal que no se toma como economía",2026-08-28
SLV,,fondo: la exposicion geografica la declara su propio nombre,
