raiz_emision,denominacion,cuit,clase,fuente,verificado
IRCF,IRSA INVERSIONES Y REPRESENTACIONES S.A.,30525322749,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
IRCJ,IRSA INVERSIONES Y REPRESENTACIONES S.A.,30525322749,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
IRCN,IRSA INVERSIONES Y REPRESENTACIONES S.A.,30525322749,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
IRCO,IRSA INVERSIONES Y REPRESENTACIONES S.A.,30525322749,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
IRCP,IRSA INVERSIONES Y REPRESENTACIONES S.A.,30525322749,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
JNC5,INVERSORA JURAMENTO SA,30640285431,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
JNC6,INVERSORA JURAMENTO SA,30640285431,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
LDCG,LEDESMA S.A.A.I,30501250305,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
LECA,ALBANESI S.A.,30682504125,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
LECG,ALBANESI S.A.,30682504125,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
LECH,ALBANESI S.A.,30682504125,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
LECI,ALBANESI S.A.,30682504125,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
LMS7,ALUAR ALUMINIO ARGENTINO S.A.I.C.,30522780606,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
LMS8,ALUAR ALUMINIO ARGENTINO S.A.I.C.,30522780606,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
LOC5,LOMA NEGRA S.A.,30500530851,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
LR7A,LABORATORIOS RICHMOND S.A.C.I.F.,30501152826,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
MCC1,PECOM SERVICIOS ENERGIA S.A.U.,30654424698,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
MCC2,PECOM SERVICIOS ENERGIA S.A.U.,30654424698,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
MGC3,PAMPA ENERGIA S.A.,30526552659,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
MGCE,PAMPA ENERGIA S.A.,30526552659,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
MGCM,PAMPA ENERGIA S.A,30526552659,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
MGCN,PAMPA ENERGIA S.A.,30526552659,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
MGCO,PAMPA ENERGIA S.A,30526552659,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
MGCQ,PAMPA ENERGIA S.A.,30526552659,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
MGCR,PAMPA ENERGIA S.A.,30526552659,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
MIC3,MIRGOR S.A.,30578036071,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
MR35,GENER.MEDITE./CENTRAL TERMICA ROCA S.A.,33711944899,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
MR36,GENER.MEDITE./CENTRAL TERMICA ROCA S.A.,33711944899,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
MR37,GENER.MEDITE./CENTRAL TERMICA ROCA S.A.,33711944899,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
MR38,GENER.MEDITE./CENTRAL TERMICA ROCA S.A.,33711944899,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
MR39,GENERACION MEDITERRANEA S.A,30682434720,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
MRCA,GEN. MEDIT. / GEN. FRIAS / C. TER. ROCA,30711586691,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
MRCG,GENER.MEDITE./CENTRAL TERMICA ROCA S.A.,33711944899,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
MRCL,GENER.MEDITE./CENTRAL TERMICA ROCA S.A.,33711944899,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
MSSF,MSU S.A.,30607597193,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
MSSG,MSU S.A.,30607597193,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
NHC1,NUEVO BANCO DEL CHACO S.A.,30670157799,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
NPCC,CENTRAL PUERTO S. A.,33650305499,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
OLC5,OLEODUCTOS DEL VALLE S.A.,30658840165,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
OLC6,OLEODUCTOS DEL VALLE S.A.,30658840165,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
OR3BP,AGRONORTE S.R.L.,30547794482,OBLIGACIONES NEGOCIABLES PYMES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
OT41,OILTANKING EBYTEM S.A.,30658839523,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
OT42,OILTANKING EBYTEM S.A.,30658839523,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
OTS2,OILTANKING EBYTEM S.A.,30658839523,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
OTS3,OILTANKING EBYTEM S.A.,30658839523,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
OTS5,OILTANKING EBYTEM S.A.,30658839523,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
OZC3,EMPRESA DISTRIB DE ELECTRICIDAD DE MENDOZA S.A.,30699542454,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
OZC6,EMPRESA DISTRIB DE ELECTRICIDAD DE MENDOZA S.A.,30699542454,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
PBS1M,PROMEDON S.A.,30619780635,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
PECB,PETROLERA ACONCAGUA ENERGIA S.A.,30714814229,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
PECG,PETROLERA ACONCAGUA ENERGIA S.A.,30714814229,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
PECK,PETROLERA ACONCAGUA ENERGIA S.A.,30714814229,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
PECL,PETROLERA ACONCAGUA ENERGIA S.A.,30714814229,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
PECM,PETROLERA ACONCAGUA ENERGIA S.A.,30714814229,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
PECN,PETROLERA ACONCAGUA ENERGIA S.A.,30714814229,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
PFC2,PROFERTIL S.A,30691576511,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
PLC1,PLUSPETROL S.A.,30678224010,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
PLC2,PLUSPETROL S.A.,30678224010,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
PLC3,PLUSPETROL S.A.,30678224010,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
PLC4,PLUSPETROL S.A.,30678224010,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
PLC5,PLUSPETROL S.A.,30678224010,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
PN34,PAN AMERICAN ENERGY LLC (PAE SUCURSAL),30714813583,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
PN35,PAN AMERICAN ENERGY LLC (PAE SUCURSAL),30714813583,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
PN36,PAN AMERICAN ENERGY LLC (PAE SUCURSAL),30714813583,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
PN37,PAN AMERICAN ENERGY LLC (PAE SUCURSAL),30714813583,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
PN38,PAN AMERICAN ENERGY LLC (PAE SUCURSAL),30714813583,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
PN40,PAN AMERICAN ENERGY LLC (PAE SUCURSAL),30714813583,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
PN41,PAN AMERICAN ENERGY LLC (PAE SUCURSAL),30714813583,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
PN42,PAN AMERICAN ENERGY LLC (PAE SUCURSAL),30714813583,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
PNDC,PAN AMERICAN ENERGY LLC (PAE SUCURSAL),30714813583,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
PNIC,PAN AMERICAN ENERGY LLC (PAE SUCURSAL),30714813583,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
PNRC,PAN AMERICAN ENERGY LLC (PAE SUCURSAL),30714813583,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
PNXC,"PAN AMERICAN ENERGY, S.L. SUCURSAL ARGENTINA",30695542476,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
PQCO,PETROQUIMICA COMODORO RIVADAVIA S.A,30563598111,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
PQCR,PETROQUIMICA COMODORO RIVADAVIA S.A,30563598111,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
PQCS,PETROQUIMICA COMODORO RIVADAVIA S.A,30563598111,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
PQCT,PETROQUIMICA COMODORO RIVADAVIA S.A,30563598111,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
PZCG,PLAZA LOGISTICA S.R.L.,30655942382,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
RC1C,ARCOR S.A.I.C.,30502793175,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
RC2C,ARCOR S.A.I.C.,30502793175,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
RC3C,ARCOR S.A.I.C.,30502793175,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
RCCR,ARCOR S.A.I.C.,30502793175,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
RUCD,MSU ENERGY S.A.,30714378402,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
RVS1,CLUB ATLETICO RIVER PLATE ASOCIACION CIVIL,30526748448,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
RZ9A,RIZOBACTER ARGENTINA S.A.,30593174057,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
RZ9B,RIZOBACTER ARGENTINA S.A.,30593174057,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
RZAB,RIZOBACTER ARGENTINA S.A.,30593174057,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
SBC1,SCANIA CREDIT ARGENTINA S.A.U.,30717023990,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
SIC1,SIDERSA S.A.,30615368292,OBLIGACIONES NEGOCIABLES,ARCA Bienes Personales 2025 (valuación al 31/12/2025),2026-08-18
