emisor,cuit,fuente,verificado
CROWN POINT ENERGIA S.A.,30709346268,CNV Listado Sociedades,2026-08-17
EDEMSA S.A.,30699542454,"CNV, verificado a mano 17/08/2026",2026-08-17
Edemsa S.A.,30699542454,"CNV, verificado a mano 17/08/2026",2026-08-17
EDENOR S.A.,30655116202,"CNV, verificado a mano 17/08/2026",2026-08-17
Fiplasto,30502112259,CNV Listado Sociedades,2026-08-17
FUTUROS Y OPCIONES.COM S.A.,30703605105,CNV Listado Sociedades,2026-08-17
Generacion Litoral S.A.,33715184139,CNV Listado Sociedades,2026-08-17
Generacion Mediterranea S.A.,30682434720,CNV Listado Sociedades,2026-08-17
GENNEIA S.A.,30665234114,CNV Listado Sociedades,2026-08-17
GRUPO ST S.A.,30708633417,CNV Listado Sociedades,2026-08-17
Icbc,30709447846,"CNV, verificado a mano 17/08/2026",2026-08-17
INVERSIONES Y REPRESENTACIONES S.A.,30525322749,"CNV, verificado a mano 17/08/2026",2026-08-17
INVERSORA JURAMENTO S.A.,30640285431,CNV Listado Sociedades,2026-08-17
Inversora Juramento S.A.,30640285431,CNV Listado Sociedades,2026-08-17
Irsa Inversiones Y Representaciones S.A.,30525322749,"CNV, verificado a mano 17/08/2026",2026-08-17
JOHN DEERE CREDIT COMPAÑIA FINANCIERA S.A.,30707024859,CNV Listado Sociedades,2026-08-17
John Deere Credit Compania Financiera S.A,30707024859,CNV Listado Sociedades,2026-08-17
LABORATORIOS RICHMOND S.A.C.I.F.,30501152826,"CNV, verificado a mano 17/08/2026",2026-08-17
LEDESMA S.A.A.I.,30501250305,"CNV, verificado a mano 17/08/2026",2026-08-17
LOMA NEGRA C.I.A.S.A,30500530851,CNV Listado Sociedades,2026-08-17
LUZ DE TRES PICOS S.A.,30715399128,CNV Listado Sociedades,2026-08-17
MASTELLONE HERMANOS S.A.,30547242331,CNV Listado Sociedades,2026-08-17
Mercado Pago,30716999498,"CNV, verificado a mano 17/08/2026",2026-08-17
MERCADO PAGO SERVICIO DE PROCESAMIENTO S.R.L.,30716999498,"CNV, verificado a mano 17/08/2026",2026-08-17
Minas Argentinas S.A.,30677262466,"CNV, verificado a mano 17/08/2026",2026-08-17
MINERA EXAR S.A.,30709667587,CNV Listado Sociedades,2026-08-17
MIRGOR S.A.C.I.F.I.A.,30578036071,"CNV, verificado a mano 17/08/2026",2026-08-17
MSU S.A.,30607597193,CNV Listado Sociedades,2026-08-17
MSU ENERGY S.A.,30714378402,CNV Listado Sociedades,2026-08-17
MSU GREEN ENERGY S.A.U.,30714155128,CNV Listado Sociedades,2026-08-17
OILTANKING EBYTEM S.A.,30658839523,"CNV, verificado a mano 17/08/2026",2026-08-17
OLEODUCTOS DEL VALLE S.A.,30658840165,"CNV, verificado a mano 17/08/2026",2026-08-17
OTAMERICA EBYTEM S.A.,30658839523,CNV Listado Sociedades,2026-08-17
PAMPA ENERGIA S.A.,30526552659,CNV Listado Sociedades,2026-08-17
PAN AMERICAN ENERGY S.A.,30695542476,CNV Listado Sociedades,2026-08-17
PECOM SERVICIOS ENERGIA S.A.U,30654424698,CNV Listado Sociedades,2026-08-17
PETROQUIMICA COMODORO RIVADAVIA S.A.,30563598111,CNV Listado Sociedades,2026-08-17
PLAZA LOGISTICA S.R.L.,30655942382,CNV Listado Sociedades,2026-08-17
Plaza Logistica S.R.L.,30655942382,CNV Listado Sociedades,2026-08-17
PLUSPETROL S.A.,30678224010,CNV Listado Sociedades,2026-08-17
PROFERTIL S.A.,30691576511,"CNV, verificado a mano 17/08/2026",2026-08-17
Profertil,30691576511,"CNV, verificado a mano 17/08/2026",2026-08-17
RIZOBACTER ARGENTINA S.A.,30593174057,CNV Listado Sociedades,2026-08-17
Rizobacter Argentina S.A,30593174057,CNV Listado Sociedades,2026-08-17
S.A. SAN MIGUEL A.G.I.C.I. Y F.,30511190238,CNV Listado Sociedades,2026-08-17
Sa San Miguel Agici Y F,30511190238,CNV Listado Sociedades,2026-08-17
Scania Credit,30717023990,"CNV, verificado a mano 17/08/2026",2026-08-17
SCANIA CREDIT ARGENTINA S.A.U.,30717023990,"CNV, verificado a mano 17/08/2026",2026-08-17
SIDERSA S.A.,30615368292,CNV Listado Sociedades,2026-08-17
Sidersa S.A.,30615368292,CNV Listado Sociedades,2026-08-17
Tango Energy,30714814229,"CNV, verificado a mano 17/08/2026",2026-08-17
TARJETA NARANJA S.A.U.,30685376349,CNV Listado Sociedades,2026-08-17
Tarjeta Naranja S.A.,30685376349,CNV Listado Sociedades,2026-08-17
TECPETROL S.A.,30592665472,CNV Listado Sociedades,2026-08-17
TELECOM ARGENTINA S.A.,30639453738,CNV Listado Sociedades,2026-08-17
Telecom Argentina S.A,30639453738,CNV Listado Sociedades,2026-08-17
TOYOTA COMPAÑIA FINANCIERA DE ARGENTINA S.A.,30709000426,CNV Listado Sociedades,2026-08-17
TRANSPORTADORA DE GAS DEL SUR S.A.,30657862068,CNV Listado Sociedades,2026-08-17
VISTA ENERGY ARGENTINA S.A.U.,33515950899,CNV Listado Sociedades,2026-08-17
Vista Energy Argentina S.A.U.,33515950899,CNV Listado Sociedades,2026-08-17
VITALCAN S.A.,30713322705,CNV Listado Sociedades,2026-08-17
VOLKSWAGEN FINANCIAL SERVICES COMPAÑIA FINANCIERA S.A.,30682419578,CNV Listado Sociedades,2026-08-17
YPF S.A.,30546689979,CNV Listado Sociedades,2026-08-17
YPF ENERGIA ELECTRICA S.A.,30714128309,CNV Listado Sociedades,2026-08-17
