major_group,nombre_en,etiqueta_es,fuente
54,Food Stores,Tiendas de alimentos,https://www.osha.gov/data/sic-manual
55,Automotive Dealers And Gasoline Service Stations,Concesionarias de automotores y estaciones de servicio,https://www.osha.gov/data/sic-manual
56,Apparel And Accessory Stores,Tiendas de indumentaria y accesorios,https://www.osha.gov/data/sic-manual
57,"Home Furniture, Furnishings, And Equipment Stores","Tiendas de muebles, decoración y equipamiento para el hogar",https://www.osha.gov/data/sic-manual
58,Eating And Drinking Places,Restaurantes y bares,https://www.osha.gov/data/sic-manual
59,Miscellaneous Retail,Comercio minorista diverso,https://www.osha.gov/data/sic-manual
60,Depository Institutions,Entidades de depósito (bancos),https://www.osha.gov/data/sic-manual
61,Non-depository Credit Institutions,Entidades de crédito no bancarias,https://www.osha.gov/data/sic-manual
62,"Security And Commodity Brokers, Dealers, Exchanges, And Services","Corretaje de valores y commodities, bolsas y servicios afines",https://www.osha.gov/data/sic-manual
63,Insurance Carriers,Compañías de seguros,https://www.osha.gov/data/sic-manual
64,"Insurance Agents, Brokers, And Service","Agentes, corredores y servicios de seguros",https://www.osha.gov/data/sic-manual
65,Real Estate,Bienes raíces,https://www.osha.gov/data/sic-manual
67,Holding And Other Investment Offices,Sociedades holding y otras entidades de inversión,https://www.osha.gov/data/sic-manual
70,"Hotels, Rooming Houses, Camps, And Other Lodging Places",Hoteles y otros alojamientos,https://www.osha.gov/data/sic-manual
72,Personal Services,Servicios personales,https://www.osha.gov/data/sic-manual
73,Business Services,Servicios a empresas,https://www.osha.gov/data/sic-manual
75,"Automotive Repair, Services, And Parking","Reparación y servicios automotores, y estacionamiento",https://www.osha.gov/data/sic-manual
76,Miscellaneous Repair Services,Servicios de reparación diversos,https://www.osha.gov/data/sic-manual
78,Motion Pictures,Industria cinematográfica,https://www.osha.gov/data/sic-manual
79,Amusement And Recreation Services,Servicios de entretenimiento y recreación,https://www.osha.gov/data/sic-manual
80,Health Services,Servicios de salud,https://www.osha.gov/data/sic-manual
81,Legal Services,Servicios jurídicos,https://www.osha.gov/data/sic-manual
82,Educational Services,Servicios educativos,https://www.osha.gov/data/sic-manual
83,Social Services,Servicios sociales,https://www.osha.gov/data/sic-manual
84,"Museums, Art Galleries, And Botanical And Zoological Gardens","Museos, galerías de arte y jardines botánicos y zoológicos",https://www.osha.gov/data/sic-manual
86,Membership Organizations,Organizaciones de membresía (asociaciones),https://www.osha.gov/data/sic-manual
87,"Engineering, Accounting, Research, Management, And Related Services","Ingeniería, contabilidad, investigación, gestión y servicios afines",https://www.osha.gov/data/sic-manual
88,Private Households,Hogares privados (servicio doméstico),https://www.osha.gov/data/sic-manual
89,Miscellaneous Services,Servicios diversos,https://www.osha.gov/data/sic-manual
91,"Executive, Legislative, And General Government, Except Finance","Poder ejecutivo, legislativo y administración general de gobierno (excepto finanzas)",https://www.osha.gov/data/sic-manual
92,"Justice, Public Order, And Safety","Justicia, orden público y seguridad",https://www.osha.gov/data/sic-manual
93,"Public Finance, Taxation, And Monetary Policy","Finanzas públicas, impuestos y política monetaria",https://www.osha.gov/data/sic-manual
94,Administration Of Human Resource Programs,Administración de programas de recursos humanos,https://www.osha.gov/data/sic-manual
95,Administration Of Environmental Quality And Housing Programs,Administración de programas de calidad ambiental y vivienda,https://www.osha.gov/data/sic-manual
96,Administration Of Economic Programs,Administración de programas económicos,https://www.osha.gov/data/sic-manual
97,National Security And International Affairs,Seguridad nacional y asuntos internacionales,https://www.osha.gov/data/sic-manual
99,Nonclassifiable Establishments,Establecimientos no clasificables,https://www.osha.gov/data/sic-manual
